name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,owners_rank,appid
Viking Rage,2017-04-28,0.50962,N-Gon Entertainment,Headup Games,windows,-0.51125,Single-player;Steam Achievements;Steam Trading Cards;Stats;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,-0.50365,-0.58556,-0.60167,-0.60557,-0.60643,0-20000,-0.01923,11.0,589150
Zombie Apocalypse,2017-02-15,0.50962,GameTop.com,GameTop.com,windows,-0.51125,Single-player,Action,Action;Zombies;Multiplayer,-0.70668,-0.5796,-0.56939,-0.56515,-0.56491,0-20000,-1.3254,11.0,589160
Panzer Panic VR,2017-03-15,0.50962,HandyGames,HandyGames,windows,-0.51125,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Casual,Action;Casual;VR,0.35532,-0.59151,-0.60461,-0.60557,-0.60643,0-20000,0.19883,11.0,589170
Defuser VR,2017-02-11,0.50962,Niki Odolphie,Somerset Online Ltd,windows,-0.51125,Single-player,Action;Casual;Indie,Action;Indie;Casual,-0.70668,-0.59568,-0.61634,-0.60557,-0.60643,0-20000,-1.15314,11.0,589180
Dreadhalls,2017-03-09,0.50962,White Door Games,White Door Games,windows,-0.51125,Single-player,Adventure;Indie,Adventure;Indie;Horror,-0.70668,-0.50459,-0.59874,-0.60557,-0.60643,0-20000,0.19883,11.0,589200
UAYEB: The Dry Land - Episode 1,2018-01-31,0.50962,ICA GAMES,ICA GAMES,windows,-0.51125,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Adventure;Indie;Violent,0.99564,-0.57246,-0.55765,-0.60557,-0.60643,0-20000,1.9433,11.0,589220
Jaguar I-PACE Concept | Virtual Reality Experience,2017-11-13,0.50962,Jaguar Land Rover Limited,Jaguar Land Rover Limited,windows,-0.51125,Single-player,Casual;Free to Play;Simulation,Free to Play;Simulation;Casual,-0.70668,-0.5927,-0.59287,-0.60557,-0.60643,0-20000,-1.3254,11.0,589240
PowersVR,2017-02-08,0.50962,Pseudocode Games,Pseudocode Games,windows,-0.51125,Single-player,Action;Simulation;Early Access,Early Access;Action;Simulation,-0.64421,-0.57663,-0.60167,-0.60557,-0.60643,0-20000,0.19883,11.0,589250
Nice Slice,2017-02-21,0.50962,Kool2Play,Kool2Play,windows,-0.51125,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Indie,Indie,-0.23815,-0.59032,-0.60754,-0.60557,-0.60643,0-20000,-0.97869,11.0,589260
xoEl Empire,2017-06-05,0.50962,Greyman Studios,Greyman Studios,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Adventure;Casual;Indie,Adventure;Indie;Casual,-0.16006,-0.58913,-0.61634,-0.60557,-0.60643,0-20000,-0.2809,11.0,589270
Stunt Kite Masters VR,2017-06-01,0.50962,HandyGames,HandyGames,windows,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Simulation;Sports,Action;Simulation;Sports,-0.58174,-0.57841,-0.61928,-0.60557,-0.60643,0-20000,-0.45535,11.0,589280
