name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,owners_rank,appid
Counter-Strike,2000-11-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,-0.70668,73.54503,9.17934,70.58887,0.70976,10000000-20000000,0.24244,2.0,10
Team Fortress Classic,1999-04-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,-0.70668,1.37968,1.23832,0.51417,-0.349,5000000-10000000,-0.45535,3.0,20
Day of Defeat,2003-05-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Valve Anti-Cheat enabled,Action,FPS;World War II;Multiplayer,-0.70668,1.43802,0.54869,0.15036,-0.46526,5000000-10000000,-0.45535,3.0,30
Deathmatch Classic,2001-06-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,-0.70668,0.1622,0.16426,0.43737,0.15754,5000000-10000000,-0.45535,3.0,40
Half-Life: Opposing Force,1999-11-01,0.50962,Gearbox Software,Valve,windows;mac;linux,-0.51125,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,FPS;Action;Sci-fi,-0.70668,2.52988,0.22588,1.91688,1.11666,5000000-10000000,-0.45535,3.0,50
Ricochet,2000-11-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,-0.70668,1.04628,1.38798,0.10185,-0.56491,5000000-10000000,-0.45535,3.0,60
Half-Life,1998-11-08,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,Action,FPS;Classic;Action,-0.70668,15.92813,2.60878,4.64953,-0.26181,5000000-10000000,0.24244,3.0,70
Counter-Strike: Condition Zero,2004-03-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,-0.70668,6.6199,3.6036,1.12053,-0.42789,10000000-20000000,0.24244,2.0,80
Half-Life: Blue Shift,2001-06-01,0.50962,Gearbox Software,Valve,windows;mac;linux,-0.51125,Single-player,Action,FPS;Action;Sci-fi,-0.70668,1.67973,0.61325,0.85373,0.24474,5000000-10000000,-0.45535,3.0,130
Half-Life 2,2004-11-16,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action,FPS;Action;Sci-fi,-0.1913,39.82944,6.47951,2.18772,1.06268,10000000-20000000,0.24244,2.0,220
Counter-Strike: Source,2004-11-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,Action;FPS;Multiplayer,1.58911,45.03157,9.643,27.05241,1.05438,10000000-20000000,0.24244,2.0,240
Half-Life: Source,2004-06-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player,Action,FPS;Action;Sci-fi,-0.70668,1.64699,2.47085,0.16248,0.2821,2000000-5000000,-1.3254,4.0,280
Day of Defeat: Source,2010-07-12,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,FPS;World War II;Multiplayer,0.13667,5.6489,2.93158,4.8759,-0.05006,5000000-10000000,0.24244,3.0,300
Half-Life 2: Deathmatch,2004-11-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK,Action,Action;FPS;Multiplayer,-0.70668,2.9883,1.69025,0.65161,-0.47356,10000000-20000000,-0.45535,2.0,320
Half-Life 2: Lost Coast,2005-10-27,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Commentary available,Action,FPS;Action;Singleplayer,-0.70668,2.8472,2.37401,-0.41962,-0.48602,10000000-20000000,-1.3254,2.0,340
Half-Life Deathmatch: Source,2006-05-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,-0.70668,0.21518,0.76878,-0.19325,-0.27011,5000000-10000000,-1.3254,3.0,360
Half-Life 2: Episode One,2006-06-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,-0.50365,4.11231,0.89791,0.53034,0.15754,5000000-10000000,-0.06284,3.0,380
Portal,2007-10-10,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,Action,Puzzle;First-Person;Singleplayer,-0.47242,30.24379,2.55008,0.55864,-0.0376,10000000-20000000,0.24244,2.0,400
Half-Life 2: Episode Two,2007-10-10,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,-0.36309,7.68081,1.4232,0.82543,0.64333,5000000-10000000,-0.06284,3.0,420
Team Fortress 2,2007-10-10,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Action;Free to Play,Free to Play;Multiplayer;FPS,7.41448,306.53035,99.26262,33.73447,1.98028,20000000-50000000,-1.3254,1.0,440
Left 4 Dead,2008-11-17,0.50962,Valve,Valve,windows;mac,-0.51125,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS,0.43341,10.09136,2.16272,3.02045,0.54783,5000000-10000000,0.24244,3.0,500
Left 4 Dead 2,2009-11-19,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS,0.38655,149.30567,24.08415,5.92288,1.74361,10000000-20000000,0.24244,2.0,550
Dota 2,2013-07-09,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy,-0.70668,513.48897,416.32514,96.18524,2.71933,100000000-200000000,-1.3254,,570
Portal 2,2011-04-18,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,Action;Adventure,Puzzle;Co-op;First-Person,0.08982,81.69292,4.93004,3.84914,1.55262,10000000-20000000,0.24244,2.0,620
Alien Swarm,2010-07-19,0.50962,Valve,Valve,windows,-0.51125,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor,Action,Free to Play;Co-op;Action,0.32408,9.78416,2.14218,0.89416,-0.26181,2000000-5000000,-1.3254,4.0,630
Counter-Strike: Global Offensive,2012-08-21,0.50962,Valve;Hidden Path Entertainment,Valve,windows;mac;linux,-0.51125,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Action;Free to Play,FPS;Multiplayer;Shooter,1.90146,1573.73724,1180.0067,90.32379,26.38994,50000000-100000000,-1.3254,,730
Rag Doll Kung Fu,2005-10-12,0.50962,Mark Healey,Mark Healey,windows,-0.51125,Single-player;Multi-player,Indie,Indie;Fighting;Multiplayer,-0.70668,-0.57186,-0.56939,-0.60557,-0.60643,20000-50000,-0.01923,10.0,1002
Red Orchestra: Ostfront 41-45,2006-03-14,0.50962,Tripwire Interactive,Tripwire Interactive,windows;mac;linux,-0.51125,Multi-player;Steam Achievements;Valve Anti-Cheat enabled,Action,World War II;Action;FPS,-0.0195,0.33425,0.03514,0.33226,0.46479,500000-1000000,-0.45535,6.0,1200
Killing Floor,2009-05-14,0.50962,Tripwire Interactive,Tripwire Interactive,windows;mac;linux,-0.51125,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor,Action,FPS;Zombies;Co-op,3.74434,31.38031,7.15446,4.76272,0.66409,2000000-5000000,1.9433,4.0,1250
SiN Episodes: Emergence,2006-05-10,0.50962,Ritual Entertainment,Ritual Entertainment,windows,-0.51125,Single-player;Stats,Action,Action;FPS;Cyberpunk,-0.70668,-0.31706,-0.44027,-0.60557,-0.60643,100000-200000,0.24244,8.0,1300
Darwinia,2005-07-14,0.50962,Introversion Software,Introversion Software,windows;mac;linux,-0.51125,Single-player,Indie;Strategy,Strategy;Indie;RTS,-0.70668,-0.31467,-0.15561,0.13014,0.52707,500000-1000000,0.24244,6.0,1500
Uplink,2006-08-23,0.50962,Introversion Software,Introversion Software,windows;mac;linux,-0.51125,Single-player,Indie;Strategy,Hacking;Indie;Strategy,-0.70668,0.35807,-0.17322,-0.34281,-0.28672,500000-1000000,0.19883,6.0,1510
DEFCON,2006-09-29,0.50962,Introversion Software,Introversion Software,windows;mac;linux,-0.51125,Single-player;Multi-player,Indie;Strategy,Strategy;Indie;Multiplayer,-0.36309,0.62895,0.39022,-0.28218,-0.11234,500000-1000000,0.24244,6.0,1520
Multiwinia,2008-09-19,0.50962,Introversion Software,Introversion Software,windows;mac,-0.51125,Single-player;Multi-player;Steam Achievements,Indie,Indie;RTS;Strategy,-0.51927,-0.37659,-0.39918,-0.11644,0.32362,500000-1000000,0.24244,6.0,1530
Dangerous Waters,2006-02-07,0.50962,Sonalysts,Strategy First,windows,-0.51125,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval,-0.70668,-0.51233,-0.49016,-0.60557,-0.60643,50000-100000,3.68777,9.0,1600
Space Empires IV Deluxe,2006-02-07,0.50962,Malfador Machinations,Strategy First,windows,-0.51125,Single-player;Multi-player,Strategy,Strategy;4X;Sci-fi,-0.70668,-0.529,-0.54298,-0.60557,-0.60643,50000-100000,0.19883,9.0,1610
Disciples II: Rise of the Elves ,2006-07-06,0.50962,Strategy First,Strategy First,windows,-0.51125,Single-player;Multi-player;Co-op,Strategy,Strategy;Turn-Based Strategy;Fantasy,-0.70668,-0.32718,-0.30234,-0.60557,-0.60643,100000-200000,-0.23729,8.0,1630
Disciples II: Gallean's Return,2006-07-06,0.50962,Strategy First,Strategy First,windows,-0.51125,Single-player;Multi-player;Co-op,Strategy,Turn-Based Strategy;Strategy;Classic,-0.70668,-0.30396,-0.17322,-0.56919,-0.5566,100000-200000,-0.23729,8.0,1640
Iron Warriors: T - 72 Tank Command ,2006-07-26,0.50962,Strategy First,Strategy First,windows,-0.51125,Single-player;Multi-player,Strategy,Simulation;Strategy;Tanks,-0.70668,-0.51412,-0.31995,-0.60557,-0.60643,20000-50000,-0.45535,10.0,1670
Space Empires V,2006-10-16,0.50962,Malfador Machinations,Strategy First,windows,-0.51125,Single-player;Multi-player,Strategy,Strategy;4X;Space,-0.70668,-0.48197,-0.36984,-0.46409,-0.46111,50000-100000,1.07106,9.0,1690
Arx Fatalis,2007-04-03,0.50962,Arkane Studios,Arkane Studios,windows,-0.51125,Single-player,RPG,RPG;First-Person;Classic,-0.70668,-0.1962,-0.30821,-0.5611,-0.51923,100000-200000,-0.67341,8.0,1700
Source Filmmaker,2012-07-10,0.50962,Valve,Valve,windows,-0.51125,Steam Workshop,Animation & Modeling;Video Production,Animation & Modeling;Video Production;Free to Play,-0.70668,8.38391,2.64106,0.36056,-0.28672,1000000-2000000,-1.3254,5.0,1840
Earth 2160,2006-04-01,0.50962,Reality Pump Studios,Topware Interactive;ACE,windows;mac;linux,-0.51125,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Strategy,Strategy;RTS;Sci-fi,-0.70668,-0.2992,0.07915,1.0316,1.11251,1000000-2000000,-0.45535,5.0,1900
Two Worlds Epic Edition,2009-04-30,0.50962,Reality Pump Studios,Topware Interactive,windows;mac;linux,-0.51125,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,RPG,RPG;Open World;Fantasy,-0.70668,0.98556,2.47672,1.35094,1.14572,1000000-2000000,0.19883,5.0,1930
Dark Messiah of Might & Magic,2006-10-25,0.50962,Arkane Studios,Ubisoft,windows,-0.51125,Single-player;Multi-player;Valve Anti-Cheat enabled,Action;RPG,RPG;Action;First-Person,-0.70668,2.01551,0.30805,1.9573,2.29998,1000000-2000000,-0.38993,5.0,2100
Quake III Arena,2007-08-03,0.50962,id Software,id Software,windows,-0.51125,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Classic,-0.70668,0.21518,-0.4256,-0.10836,-0.17877,200000-500000,1.50718,7.0,2200
Quake IV,2011-08-04,0.50962,RavenSoft / id Software,Bethesda Softworks,windows,25.41858,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Shooter,-0.70668,-0.06523,-0.11746,-0.46004,-0.47356,200000-500000,1.50718,7.0,2210
Wolfenstein 3D,2007-08-03,0.50962,id Software,Bethesda-Softworks,windows,-0.51125,Single-player;Steam Cloud,Action,FPS;Classic;Action,-0.70668,0.45987,-0.36397,-0.32664,-0.1497,200000-500000,-0.67341,7.0,2270
Ultimate Doom,2007-08-03,0.50962,id Software,id Software,windows,-0.51125,Single-player;Steam Cloud,Action,Classic;FPS;Action,-0.70668,1.61008,0.13491,-0.10027,0.13678,500000-1000000,-0.45535,6.0,2280
Final DOOM,2007-08-03,0.50962,id Software,id Software,windows,-0.51125,Single-player;Steam Cloud,Action,FPS;Action;Classic,-0.70668,-0.25454,-0.37864,-0.12048,-0.1331,200000-500000,-0.45535,7.0,2290
DOOM II,2007-08-03,0.50962,id Software,id Software,windows,-0.51125,Single-player;Multi-player;Steam Cloud,Action,Classic;FPS;Action,-0.70668,0.90281,-0.08518,-0.24175,-0.28257,500000-1000000,-0.45535,6.0,2300
QUAKE,2007-08-03,0.50962,id Software,id Software,windows,-0.51125,Single-player;Multi-player;Co-op;Steam Cloud,Action,FPS;Classic;Action,-0.70668,0.96294,-0.22017,0.06951,0.1783,200000-500000,-0.45535,7.0,2310
QUAKE II,2007-08-03,0.50962,id Software,id Software,windows,-0.51125,Single-player;Multi-player;Co-op;Steam Cloud,Action,FPS;Action;Classic,-0.70668,0.21935,-0.30528,0.57076,0.84263,200000-500000,-0.45535,7.0,2320
QUAKE II Mission Pack: The Reckoning,2007-08-03,0.50962,Xatrix Entertainment,id Software,windows,-0.51125,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Classic,-0.70668,-0.55698,-0.58406,-0.47621,-0.47356,200000-500000,-0.78244,7.0,2330
QUAKE II Mission Pack: Ground Zero,2007-08-03,0.50962,Rogue Entertainment,id Software,windows,-0.51125,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Shooter,-0.70668,-0.56353,-0.52244,-0.60153,-0.60227,200000-500000,-0.78244,7.0,2340
QUAKE III: Team Arena,2007-08-03,0.50962,id Software,id Software,windows,-0.51125,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Competitive,-0.70668,-0.53138,-0.52831,-0.60557,-0.60643,200000-500000,1.50718,7.0,2350
HeXen: Beyond Heretic,2007-08-03,0.50962,Raven Software,id Software,windows,-0.51125,Single-player;Steam Cloud,Action,Action;FPS;Classic,-0.70668,-0.44744,-0.54298,-0.40345,-0.39883,200000-500000,-0.67341,7.0,2360
HeXen: Deathkings of the Dark Citadel,2007-08-03,0.50962,Raven Software,id Software,windows,-0.51125,Single-player;Steam Cloud,Action,Action;FPS;Classic,-0.70668,-0.56174,-0.56059,-0.60557,-0.60643,100000-200000,-0.67341,8.0,2370
Heretic: Shadow of the Serpent Riders,2007-08-03,0.50962,Raven Software,id Software,windows,-0.51125,Single-player;Multi-player;Steam Cloud,Action,Classic;Action;FPS,-0.70668,-0.34742,-0.53418,-0.60557,-0.60643,200000-500000,-0.67341,7.0,2390
The Ship: Murder Party,2006-07-11,0.50962,Outerlight Ltd.,Blazing Griffin Ltd.,windows,-0.51125,Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled,Action;Indie;RPG,Multiplayer;Indie;Action,-0.70668,2.27329,1.70492,0.33631,0.3859,1000000-2000000,-1.3254,5.0,2400
Bloody Good Time,2010-10-29,0.50962,Outerlight Ltd.,Ubisoft,windows,-0.51125,Single-player;Multi-player;Steam Achievements,Action,Action;Multiplayer;FPS,-0.51927,-0.20156,-0.02062,0.17461,0.19491,100000-200000,-0.38993,8.0,2450
Shadowgrounds,2006-05-08,0.50962,Frozenbyte,Frozenbyte,windows;mac,-0.51125,Single-player;Shared/Split Screen;Steam Trading Cards,Action,Action;Sci-fi;Top-Down Shooter,-0.70668,-0.01641,0.1085,0.14631,0.46479,500000-1000000,-0.45535,6.0,2500
Gumboy - Crazy Adventures™,2006-12-19,0.50962,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",windows,-0.51125,Single-player,Casual;Indie,Casual;Indie;Singleplayer,-0.70668,-0.56472,-0.48429,-0.60557,-0.60643,50000-100000,-1.3254,9.0,2520
Alpha Prime,2007-11-07,0.50962,Black Element,Bohemia Interactive,windows,-0.51125,Single-player,Action,Action;FPS;Sci-fi,-0.70668,-0.23252,0.91551,-0.60557,-0.60643,200000-500000,-0.67341,7.0,2590
Vampire: The Masquerade - Bloodlines,2007-03-22,0.50962,Troika Games,Activision,windows,-0.51125,Single-player,Action,RPG;Vampire;Cult Classic,-0.70668,3.07224,0.44304,0.80926,0.23228,500000-1000000,1.9433,6.0,2600
GUN™,2006-10-13,0.50962,Neversoft,Activision,windows,-0.51125,Single-player,Action,Western;Action;Open World,-0.70668,-0.15512,-0.36397,1.26201,3.08471,50000-100000,0.853,9.0,2610
Call of Duty®,2006-10-13,0.50962,Infinity Ward,Activision,windows,-0.51125,Single-player;Multi-player,Action,FPS;World War II;Action,-0.70668,0.33008,-0.27593,1.59753,2.91863,200000-500000,1.9433,7.0,2620
Call of Duty® 2,2006-10-13,0.50962,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),windows;mac,-0.51125,Single-player;Multi-player,Action,Action;World War II;FPS,-0.70668,0.85339,0.07329,2.42622,3.71582,200000-500000,1.9433,7.0,2630
Call of Duty: United Offensive,2006-10-13,0.50962,Gray Matter Studios,Activision,windows,-0.51125,Single-player;Multi-player,Action,Action;World War II;FPS,-0.70668,-0.30396,-0.33462,-0.60557,-0.60643,200000-500000,1.9433,7.0,2640
Act of War: Direct Action,2008-03-12,0.50962,Eugen Systems,THQ Nordic,windows,-0.51125,Single-player;Multi-player,Action,Action;Strategy;RTS,-0.70668,-0.48852,-0.52244,-0.60557,-0.60643,20000-50000,-0.89147,10.0,2710
ThreadSpace: Hyperbol,2007-07-12,0.50962,Iocaine Studios,Atari,windows,-0.51125,Single-player;Multi-player;Includes level editor,Action;Indie;Strategy,Strategy;Action;Indie,-0.70668,-0.57722,-0.59287,-0.60557,-0.60643,20000-50000,-0.45535,10.0,2720
ARMA: Combat Operations,2008-03-12,0.50962,Bohemia Interactive,Bohemia Interactive,windows,-0.51125,Single-player;Multi-player;Includes level editor,Action,Action;Simulation;Shooter,-0.70668,-0.50935,-0.39332,-0.60557,-0.60643,20000-50000,-0.01923,10.0,2780
X2: The Threat,2006-07-21,0.50962,Egosoft,Egosoft,windows,-0.51125,Single-player;Captions available;Steam Cloud,Strategy,Space;Strategy;Simulation,-0.70668,-0.46946,-0.47255,2.35346,2.43284,200000-500000,-0.23729,7.0,2800
X3: Reunion,2006-07-21,0.50962,Egosoft,Egosoft,windows;mac;linux,-0.51125,Single-player;Captions available;Steam Cloud,Strategy,Space;Simulation;Strategy,-0.70668,-0.42779,-0.28767,2.75365,4.50885,200000-500000,0.853,7.0,2810
X3: Terran Conflict,2008-10-16,0.50962,Egosoft,Egosoft,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Simulation;Strategy,Space;Simulation;Sci-fi,-0.1913,0.37652,0.17893,3.32363,4.67908,500000-1000000,2.16136,6.0,2820
X: Beyond the Frontier,2010-10-08,0.50962,Egosoft,Egosoft,windows,-0.51125,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Space;Strategy,-0.70668,-0.51114,-0.47842,2.0139,2.08408,200000-500000,-0.56438,7.0,2840
X: Tension,2010-10-08,0.50962,Egosoft,Egosoft,windows,-0.51125,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Strategy;Space,-0.70668,-0.56174,-0.56646,-0.55302,-0.55245,20000-50000,-0.56438,10.0,2850
X Rebirth,2013-11-15,0.50962,Egosoft,Egosoft,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud,Action;Simulation,Space;Simulation;Sci-fi,0.37094,1.09034,11.21301,6.44435,13.45228,200000-500000,4.12389,7.0,2870
688(I) Hunter/Killer,2006-10-26,0.50962,Sonalysts,Strategy First,windows,-0.51125,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval,-0.70668,-0.56472,-0.56939,-0.60557,-0.60643,20000-50000,3.68777,10.0,2900
Fleet Command,2006-10-26,0.50962,Sonalysts,Strategy First,windows,-0.51125,Single-player,Strategy,Strategy;Simulation;Naval,-0.70668,-0.52007,-0.52831,-0.60557,-0.60643,50000-100000,3.68777,9.0,2910
Sub Command,2006-10-26,0.50962,Sonalysts,Strategy First,windows,-0.51125,Single-player;Multi-player;Co-op;Includes level editor,Strategy,Strategy;Simulation;Naval,-0.70668,-0.57603,-0.5782,-0.60557,-0.60643,20000-50000,3.68777,10.0,2920
FlatOut 2™,2006-12-21,0.50962,Bugbear Entertainment,Strategy First,windows,-0.51125,Single-player,Racing,Racing;Destruction;Multiplayer,-0.70668,2.64181,0.38729,0.57885,0.85093,500000-1000000,-0.01923,6.0,2990
Xpand Rally,2006-08-24,0.50962,Techland,Techland,windows,-0.51125,Single-player;Multi-player,Racing,Racing;Multiplayer,-0.70668,-0.51292,-0.50483,3.19023,3.29231,20000-50000,-0.45535,10.0,3010
Call of Juarez™,2007-11-08,0.50962,Techland,Techland Publishing,windows,-0.51125,Single-player;Multi-player;Steam Trading Cards,Action,Western;Action;FPS,-0.70668,-0.12357,-0.03823,-0.41962,-0.35731,100000-200000,0.54772,8.0,3020
Xpand Rally Xtreme,2008-10-08,0.50962,Techland,Techland,windows,-0.51125,Single-player;Multi-player,Racing,Racing;Offroad;Simulation,-0.70668,-0.55341,-0.51363,-0.60557,-0.60643,20000-50000,-0.45535,10.0,3050
Men of War: Red Tide,2009-11-01,0.50962,1C Entertainment,1C Entertainment;1C-SoftClub,windows,-0.51125,Single-player;Steam Cloud,Strategy,Strategy;World War II;RTS,-0.70668,-0.42065,-0.41679,-0.60557,-0.60643,200000-500000,-0.45535,7.0,3130
King's Bounty: Armored Princess,2009-11-19,0.50962,Katauri Interactive,1C Entertainment,windows;mac,-0.51125,Single-player;Steam Cloud,RPG;Strategy,RPG;Turn-Based Strategy;Strategy,-0.70668,-0.30872,-0.46375,5.1427,5.3268,200000-500000,0.41689,7.0,3170
Genesis Rising,2007-08-06,0.50962,Metamorf,THQ Nordic,windows,-0.51125,Single-player;Multi-player,Strategy,Strategy;Space;Sci-fi,-0.70668,-0.57782,-0.34343,-0.60557,-0.60643,20000-50000,-0.34632,10.0,3230
Safecracker: The Ultimate Puzzle Adventure,2007-08-29,0.50962,Kheops Studio,HandyGames,windows,-0.51125,Single-player,Adventure;Casual,Puzzle;Adventure;Casual,-0.70668,-0.44327,-0.11453,-0.60153,-0.60227,50000-100000,-0.34632,9.0,3260
Painkiller Overdose,2007-10-30,0.50962,Mindware Studios,THQ Nordic,windows,-0.51125,Single-player;Multi-player,Action,Action;FPS;Shooter,-0.70668,-0.34027,-0.21724,0.48587,0.51462,200000-500000,-0.34632,7.0,3270
Zuma Deluxe,2006-08-30,0.50962,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,-0.51125,Single-player,Casual,Casual;Match 3;Puzzle,-0.70668,-0.33551,-0.5107,0.47375,0.50216,100000-200000,-0.39865,8.0,3330
Heavy Weapon Deluxe,2006-08-30,0.50962,"PopCap Games, Inc.","PopCap Games, Inc.",windows,-0.51125,Single-player,Casual,Casual;Arcade;Action,-0.70668,-0.55341,-0.53711,-0.60557,-0.60643,20000-50000,-0.39865,10.0,3410
Peggle Deluxe,2007-03-06,0.50962,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,-0.51125,Single-player,Casual,Casual;Puzzle;Arcade,-0.70668,0.06277,-0.4256,0.2595,0.44818,200000-500000,-0.39865,7.0,3480
Peggle Extreme,2007-09-11,0.50962,"PopCap Games, Inc.","PopCap Games, Inc.",windows,-0.51125,Single-player,Casual,Casual;Puzzle;Free to Play,-0.70668,-0.17477,-0.44907,-0.60153,-0.60227,200000-500000,-1.3254,7.0,3483
Venice Deluxe,2007-06-25,0.50962,"Retro64, Inc.","PopCap Games, Inc.",windows,-0.51125,Single-player,Casual,Casual,-0.70668,-0.58972,-0.61341,-0.60557,-0.60643,20000-50000,-0.39865,10.0,3490
Mystery P.I.™ - The Lottery Ticket,2007-10-16,0.50962,SpinTop Games,"PopCap Games, Inc.",windows,-0.51125,Single-player,Casual,Casual;Hidden Object,-0.70668,-0.58972,-0.61048,-0.60557,-0.60643,20000-50000,-0.39865,10.0,3500
Amazing Adventures The Lost Tomb™,2007-12-13,0.50962,SpinTop Games,"PopCap Games, Inc.",windows,-0.51125,Single-player,Casual,Casual;Hidden Object;Puzzle,-0.70668,-0.58318,-0.5958,-0.60557,-0.60643,20000-50000,-0.39865,10.0,3510
Mystery P.I.™ - The Vegas Heist,2008-06-05,0.50962,SpinTop Games,"PopCap Games, Inc.",windows,-0.51125,Single-player,Casual,Casual;Hidden Object,-0.70668,-0.58913,-0.60461,-0.60557,-0.60643,20000-50000,-0.39865,10.0,3520
Amazing Adventures Around the World,2009-04-15,0.50962,SpinTop Games,"PopCap Games, Inc.",windows,-0.51125,Single-player,Casual,Casual;Hidden Object;Puzzle,-0.70668,-0.58198,-0.59874,-0.60557,-0.60643,20000-50000,-0.39865,10.0,3530
Peggle™ Nights,2008-10-15,0.50962,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,-0.51125,Single-player,Casual,Casual;Puzzle;Singleplayer,-0.70668,-0.37659,-0.54885,0.35248,0.3776,200000-500000,-0.39865,7.0,3540
Bejeweled Twist,2008-11-18,0.50962,"PopCap Games, Inc.","PopCap Games, Inc.",windows,-0.51125,Single-player,Strategy;Casual,Casual;Strategy;Match 3,-0.70668,-0.53733,-0.56646,-0.60557,-0.60643,20000-50000,-0.39865,10.0,3560
